;Datum;von;bis;MW
Maximum;11.11.2013;17:00;17:15;9929
;Datum;von;bis;MW
Minimum;24.12.2013;01:45;02:00;-3282

Datum;Uhrzeit;;Wert
05.03.2013;22:00;22:15;5809
05.03.2013;22:15;22:30;5631
05.03.2013;22:30;22:45;5404
05.03.2013;22:45;23:00;5365
05.03.2013;23:00;23:15;5287
05.03.2013;23:15;23:30;5063
05.03.2013;23:30;23:45;5042
05.03.2013;23:45;24:00;4906
06.03.2013;00:00;00:15;4892
06.03.2013;00:15;00:30;4767
06.03.2013;00:30;00:45;4810
06.03.2013;00:45;01:00;4781
06.03.2013;01:00;01:15;4724
06.03.2013;01:15;01:30;4691
06.03.2013;01:30;01:45;4702
06.03.2013;01:45;02:00;4610
06.03.2013;02:00;02:15;4676
06.03.2013;02:15;02:30;4814
06.03.2013;02:30;02:45;4821
06.03.2013;02:45;03:00;4903
06.03.2013;03:00;03:15;4938
06.03.2013;03:15;03:30;5119
06.03.2013;03:30;03:45;5186
06.03.2013;03:45;04:00;5258
06.03.2013;04:00;04:15;5248
06.03.2013;04:15;04:30;5455
06.03.2013;04:30;04:45;5537
06.03.2013;04:45;05:00;5726
06.03.2013;05:00;05:15;5827
06.03.2013;05:15;05:30;6158
06.03.2013;05:30;05:45;6230
06.03.2013;05:45;06:00;6301
06.03.2013;06:00;06:15;6522
06.03.2013;06:15;06:30;6621
06.03.2013;06:30;06:45;6864
06.03.2013;06:45;07:00;6888
06.03.2013;07:00;07:15;7110
06.03.2013;07:15;07:30;7074
06.03.2013;07:30;07:45;7008
06.03.2013;07:45;08:00;6928
06.03.2013;08:00;08:15;6731
06.03.2013;08:15;08:30;6440
06.03.2013;08:30;08:45;6332
06.03.2013;08:45;09:00;6121
06.03.2013;09:00;09:15;5966
06.03.2013;09:15;09:30;5712
06.03.2013;09:30;09:45;5657
06.03.2013;09:45;10:00;5573
06.03.2013;10:00;10:15;5457
06.03.2013;10:15;10:30;5287
06.03.2013;10:30;10:45;5270
06.03.2013;10:45;11:00;5225
06.03.2013;11:00;11:15;5263
06.03.2013;11:15;11:30;5264
06.03.2013;11:30;11:45;5281
06.03.2013;11:45;12:00;5198
06.03.2013;12:00;12:15;5121
06.03.2013;12:15;12:30;4993
06.03.2013;12:30;12:45;4973
06.03.2013;12:45;13:00;5018
06.03.2013;13:00;13:15;5076
06.03.2013;13:15;13:30;5075
06.03.2013;13:30;13:45;5062
06.03.2013;13:45;14:00;5190
06.03.2013;14:00;14:15;5299
06.03.2013;14:15;14:30;5378
06.03.2013;14:30;14:45;5621
06.03.2013;14:45;15:00;5753
06.03.2013;15:00;15:15;5905
06.03.2013;15:15;15:30;5970
06.03.2013;15:30;15:45;6164
06.03.2013;15:45;16:00;6372
06.03.2013;16:00;16:15;6475
06.03.2013;16:15;16:30;6708
06.03.2013;16:30;16:45;7098
06.03.2013;16:45;17:00;7335
06.03.2013;17:00;17:15;7640
06.03.2013;17:15;17:30;7785
06.03.2013;17:30;17:45;8047
06.03.2013;17:45;18:00;8294
06.03.2013;18:00;18:15;8268
06.03.2013;18:15;18:30;8296
06.03.2013;18:30;18:45;8264
06.03.2013;18:45;19:00;8157
06.03.2013;19:00;19:15;8033
06.03.2013;19:15;19:30;7856
06.03.2013;19:30;19:45;7711
06.03.2013;19:45;20:00;7667
06.03.2013;20:00;20:15;7376
06.03.2013;20:15;20:30;7143
06.03.2013;20:30;20:45;6913
06.03.2013;20:45;21:00;6697
06.03.2013;21:00;21:15;6620
06.03.2013;21:15;21:30;6365
06.03.2013;21:30;21:45;6116
06.03.2013;21:45;22:00;5855
06.03.2013;22:00;22:15;5982
06.03.2013;22:15;22:30;5699
06.03.2013;22:30;22:45;5477
06.03.2013;22:45;23:00;5208
06.03.2013;23:00;23:15;4931
06.03.2013;23:15;23:30;4591
06.03.2013;23:30;23:45;4290
06.03.2013;23:45;24:00;4107
07.03.2013;00:00;00:15;3781
07.03.2013;00:15;00:30;3729
07.03.2013;00:30;00:45;3582
07.03.2013;00:45;01:00;3707
07.03.2013;01:00;01:15;3504
07.03.2013;01:15;01:30;3471
07.03.2013;01:30;01:45;3490
07.03.2013;01:45;02:00;3555
07.03.2013;02:00;02:15;3570
07.03.2013;02:15;02:30;3493
07.03.2013;02:30;02:45;3610
07.03.2013;02:45;03:00;3674
07.03.2013;03:00;03:15;3694
07.03.2013;03:15;03:30;3612
07.03.2013;03:30;03:45;3657
07.03.2013;03:45;04:00;3588
07.03.2013;04:00;04:15;3664
07.03.2013;04:15;04:30;3677
07.03.2013;04:30;04:45;3788
07.03.2013;04:45;05:00;3806
07.03.2013;05:00;05:15;3987
07.03.2013;05:15;05:30;4020
07.03.2013;05:30;05:45;4188
07.03.2013;05:45;06:00;4257
07.03.2013;06:00;06:15;4613
07.03.2013;06:15;06:30;4964
07.03.2013;06:30;06:45;5267
07.03.2013;06:45;07:00;5390
07.03.2013;07:00;07:15;5673
07.03.2013;07:15;07:30;5802
07.03.2013;07:30;07:45;5883
07.03.2013;07:45;08:00;5884
07.03.2013;08:00;08:15;6024
07.03.2013;08:15;08:30;5997
07.03.2013;08:30;08:45;5855
07.03.2013;08:45;09:00;5686
07.03.2013;09:00;09:15;5638
07.03.2013;09:15;09:30;5718
07.03.2013;09:30;09:45;5596
07.03.2013;09:45;10:00;5507
07.03.2013;10:00;10:15;5459
07.03.2013;10:15;10:30;5412
07.03.2013;10:30;10:45;5313
07.03.2013;10:45;11:00;5236
07.03.2013;11:00;11:15;5288
07.03.2013;11:15;11:30;5396
07.03.2013;11:30;11:45;5299
07.03.2013;11:45;12:00;5240
07.03.2013;12:00;12:15;5080
07.03.2013;12:15;12:30;4945
07.03.2013;12:30;12:45;4966
07.03.2013;12:45;13:00;5059
07.03.2013;13:00;13:15;5084
07.03.2013;13:15;13:30;5121
07.03.2013;13:30;13:45;5046
07.03.2013;13:45;14:00;5020
07.03.2013;14:00;14:15;5035
07.03.2013;14:15;14:30;4965
07.03.2013;14:30;14:45;4853
07.03.2013;14:45;15:00;4872
07.03.2013;15:00;15:15;4934
07.03.2013;15:15;15:30;4889
07.03.2013;15:30;15:45;4799
07.03.2013;15:45;16:00;4738
07.03.2013;16:00;16:15;4759
07.03.2013;16:15;16:30;4733
07.03.2013;16:30;16:45;4777
07.03.2013;16:45;17:00;4846
07.03.2013;17:00;17:15;4985
07.03.2013;17:15;17:30;5117
07.03.2013;17:30;17:45;5244
07.03.2013;17:45;18:00;5579
07.03.2013;18:00;18:15;5819
07.03.2013;18:15;18:30;5890
07.03.2013;18:30;18:45;5917
07.03.2013;18:45;19:00;5945
07.03.2013;19:00;19:15;5807
07.03.2013;19:15;19:30;5716
07.03.2013;19:30;19:45;5430
07.03.2013;19:45;20:00;5377
07.03.2013;20:00;20:15;5201
07.03.2013;20:15;20:30;4820
07.03.2013;20:30;20:45;4379
07.03.2013;20:45;21:00;4364
07.03.2013;21:00;21:15;4219
07.03.2013;21:15;21:30;4139
07.03.2013;21:30;21:45;3906
07.03.2013;21:45;22:00;4040
07.03.2013;22:00;22:15;4025
07.03.2013;22:15;22:30;3959
07.03.2013;22:30;22:45;3839
07.03.2013;22:45;23:00;3758
07.03.2013;23:00;23:15;3585
07.03.2013;23:15;23:30;3393
07.03.2013;23:30;23:45;3208
07.03.2013;23:45;24:00;3117
08.03.2013;00:00;00:15;2968
08.03.2013;00:15;00:30;2836
08.03.2013;00:30;00:45;2679
08.03.2013;00:45;01:00;2494
08.03.2013;01:00;01:15;2350
08.03.2013;01:15;01:30;2295
08.03.2013;01:30;01:45;2213
08.03.2013;01:45;02:00;2305
08.03.2013;02:00;02:15;2221
08.03.2013;02:15;02:30;2173
08.03.2013;02:30;02:45;1940
08.03.2013;02:45;03:00;2205
08.03.2013;03:00;03:15;2340
08.03.2013;03:15;03:30;2380
08.03.2013;03:30;03:45;2481
08.03.2013;03:45;04:00;2578
08.03.2013;04:00;04:15;2792
08.03.2013;04:15;04:30;2831
08.03.2013;04:30;04:45;3011
08.03.2013;04:45;05:00;3080
08.03.2013;05:00;05:15;3348
08.03.2013;05:15;05:30;3440
08.03.2013;05:30;05:45;3663
08.03.2013;05:45;06:00;3811
08.03.2013;06:00;06:15;4132
08.03.2013;06:15;06:30;4525
08.03.2013;06:30;06:45;4795
08.03.2013;06:45;07:00;4933
08.03.2013;07:00;07:15;5239
08.03.2013;07:15;07:30;5394
08.03.2013;07:30;07:45;5618
08.03.2013;07:45;08:00;5631
08.03.2013;08:00;08:15;5684
08.03.2013;08:15;08:30;5750
08.03.2013;08:30;08:45;5744
08.03.2013;08:45;09:00;5777
08.03.2013;09:00;09:15;5685
08.03.2013;09:15;09:30;5750
08.03.2013;09:30;09:45;5703
08.03.2013;09:45;10:00;5674
08.03.2013;10:00;10:15;5610
08.03.2013;10:15;10:30;5763
08.03.2013;10:30;10:45;5663
08.03.2013;10:45;11:00;5567
08.03.2013;11:00;11:15;5503
08.03.2013;11:15;11:30;5730
08.03.2013;11:30;11:45;5678
08.03.2013;11:45;12:00;5608
08.03.2013;12:00;12:15;5436
08.03.2013;12:15;12:30;5418
08.03.2013;12:30;12:45;5317
08.03.2013;12:45;13:00;5220
08.03.2013;13:00;13:15;5308
08.03.2013;13:15;13:30;5105
08.03.2013;13:30;13:45;4936
08.03.2013;13:45;14:00;4782
08.03.2013;14:00;14:15;4812
08.03.2013;14:15;14:30;4827
08.03.2013;14:30;14:45;4760
08.03.2013;14:45;15:00;4790
08.03.2013;15:00;15:15;4878
08.03.2013;15:15;15:30;4788
08.03.2013;15:30;15:45;4786
08.03.2013;15:45;16:00;4733
08.03.2013;16:00;16:15;4878
08.03.2013;16:15;16:30;5066
08.03.2013;16:30;16:45;5163
08.03.2013;16:45;17:00;5263
08.03.2013;17:00;17:15;5475
08.03.2013;17:15;17:30;5737
08.03.2013;17:30;17:45;5925
08.03.2013;17:45;18:00;6122
08.03.2013;18:00;18:15;6304
08.03.2013;18:15;18:30;6552
08.03.2013;18:30;18:45;6641
08.03.2013;18:45;19:00;6660
08.03.2013;19:00;19:15;6720
08.03.2013;19:15;19:30;6623
08.03.2013;19:30;19:45;6531
08.03.2013;19:45;20:00;6446
08.03.2013;20:00;20:15;6395
08.03.2013;20:15;20:30;6057
08.03.2013;20:30;20:45;5716
08.03.2013;20:45;21:00;5561
08.03.2013;21:00;21:15;5452
08.03.2013;21:15;21:30;5329
08.03.2013;21:30;21:45;5234
08.03.2013;21:45;22:00;5255
08.03.2013;22:00;22:15;5314
08.03.2013;22:15;22:30;5259
08.03.2013;22:30;22:45;5058
08.03.2013;22:45;23:00;5002
08.03.2013;23:00;23:15;4902
08.03.2013;23:15;23:30;4666
08.03.2013;23:30;23:45;4690
08.03.2013;23:45;24:00;4558
09.03.2013;00:00;00:15;4515
09.03.2013;00:15;00:30;4479
09.03.2013;00:30;00:45;4550
09.03.2013;00:45;01:00;4560
09.03.2013;01:00;01:15;4339
09.03.2013;01:15;01:30;4427
09.03.2013;01:30;01:45;4240
09.03.2013;01:45;02:00;4309
09.03.2013;02:00;02:15;4104
09.03.2013;02:15;02:30;4255
09.03.2013;02:30;02:45;4228
09.03.2013;02:45;03:00;4227
09.03.2013;03:00;03:15;4257
09.03.2013;03:15;03:30;4199
09.03.2013;03:30;03:45;4221
09.03.2013;03:45;04:00;4088
09.03.2013;04:00;04:15;4147
09.03.2013;04:15;04:30;4116
09.03.2013;04:30;04:45;4159
09.03.2013;04:45;05:00;4087
09.03.2013;05:00;05:15;4019
09.03.2013;05:15;05:30;4026
09.03.2013;05:30;05:45;3788
09.03.2013;05:45;06:00;3593
09.03.2013;06:00;06:15;3412
09.03.2013;06:15;06:30;3467
09.03.2013;06:30;06:45;3463
09.03.2013;06:45;07:00;3693
09.03.2013;07:00;07:15;3941
09.03.2013;07:15;07:30;4118
09.03.2013;07:30;07:45;4235
09.03.2013;07:45;08:00;4300
09.03.2013;08:00;08:15;4550
09.03.2013;08:15;08:30;4627
09.03.2013;08:30;08:45;4639
09.03.2013;08:45;09:00;4768
09.03.2013;09:00;09:15;4750
09.03.2013;09:15;09:30;4831
09.03.2013;09:30;09:45;4850
09.03.2013;09:45;10:00;4913
09.03.2013;10:00;10:15;4969
09.03.2013;10:15;10:30;5083
09.03.2013;10:30;10:45;5168
09.03.2013;10:45;11:00;5151
09.03.2013;11:00;11:15;5280
09.03.2013;11:15;11:30;5268
09.03.2013;11:30;11:45;5188
09.03.2013;11:45;12:00;5110
09.03.2013;12:00;12:15;4939
09.03.2013;12:15;12:30;4849
09.03.2013;12:30;12:45;4597
09.03.2013;12:45;13:00;4561
09.03.2013;13:00;13:15;4680
09.03.2013;13:15;13:30;4475
09.03.2013;13:30;13:45;4395
09.03.2013;13:45;14:00;4429
09.03.2013;14:00;14:15;4502
09.03.2013;14:15;14:30;4561
09.03.2013;14:30;14:45;4440
09.03.2013;14:45;15:00;4531
09.03.2013;15:00;15:15;4546
09.03.2013;15:15;15:30;4519
09.03.2013;15:30;15:45;4530
09.03.2013;15:45;16:00;4554
09.03.2013;16:00;16:15;4637
09.03.2013;16:15;16:30;4651
09.03.2013;16:30;16:45;4751
09.03.2013;16:45;17:00;4764
09.03.2013;17:00;17:15;4994
09.03.2013;17:15;17:30;5037
09.03.2013;17:30;17:45;5379
09.03.2013;17:45;18:00;5552
09.03.2013;18:00;18:15;5706
09.03.2013;18:15;18:30;5719
09.03.2013;18:30;18:45;5872
09.03.2013;18:45;19:00;5808
09.03.2013;19:00;19:15;5745
09.03.2013;19:15;19:30;5618
09.03.2013;19:30;19:45;5298
09.03.2013;19:45;20:00;5295
09.03.2013;20:00;20:15;5049
09.03.2013;20:15;20:30;4766
09.03.2013;20:30;20:45;4538
09.03.2013;20:45;21:00;4472
09.03.2013;21:00;21:15;4379
09.03.2013;21:15;21:30;4149
09.03.2013;21:30;21:45;4167
09.03.2013;21:45;22:00;4260
09.03.2013;22:00;22:15;4476
09.03.2013;22:15;22:30;4268
09.03.2013;22:30;22:45;4284
09.03.2013;22:45;23:00;4292
09.03.2013;23:00;23:15;4038
09.03.2013;23:15;23:30;3899
09.03.2013;23:30;23:45;3732
09.03.2013;23:45;24:00;3533
10.03.2013;00:00;00:15;3336
10.03.2013;00:15;00:30;3253
10.03.2013;00:30;00:45;3255
10.03.2013;00:45;01:00;3252
10.03.2013;01:00;01:15;3177
10.03.2013;01:15;01:30;3102
10.03.2013;01:30;01:45;2943
10.03.2013;01:45;02:00;2843
10.03.2013;02:00;02:15;2802
10.03.2013;02:15;02:30;2887
10.03.2013;02:30;02:45;2820
10.03.2013;02:45;03:00;2748
10.03.2013;03:00;03:15;2704
10.03.2013;03:15;03:30;2766
10.03.2013;03:30;03:45;2540
10.03.2013;03:45;04:00;2470
10.03.2013;04:00;04:15;2531
10.03.2013;04:15;04:30;2571
10.03.2013;04:30;04:45;2480
10.03.2013;04:45;05:00;2414
10.03.2013;05:00;05:15;2382
10.03.2013;05:15;05:30;2295
10.03.2013;05:30;05:45;2026
10.03.2013;05:45;06:00;1884
10.03.2013;06:00;06:15;1666
10.03.2013;06:15;06:30;1599
10.03.2013;06:30;06:45;1459
10.03.2013;06:45;07:00;1512
10.03.2013;07:00;07:15;1656
10.03.2013;07:15;07:30;1833
10.03.2013;07:30;07:45;2065
10.03.2013;07:45;08:00;2145
10.03.2013;08:00;08:15;2389
10.03.2013;08:15;08:30;2562
10.03.2013;08:30;08:45;2600
10.03.2013;08:45;09:00;2669
10.03.2013;09:00;09:15;2845
10.03.2013;09:15;09:30;2856
10.03.2013;09:30;09:45;2927
10.03.2013;09:45;10:00;3051
10.03.2013;10:00;10:15;3289
10.03.2013;10:15;10:30;3331
10.03.2013;10:30;10:45;3452
10.03.2013;10:45;11:00;3715
10.03.2013;11:00;11:15;4059
10.03.2013;11:15;11:30;4262
10.03.2013;11:30;11:45;4443
10.03.2013;11:45;12:00;4343
10.03.2013;12:00;12:15;4237
10.03.2013;12:15;12:30;3832
10.03.2013;12:30;12:45;3622
10.03.2013;12:45;13:00;3750
10.03.2013;13:00;13:15;3602
10.03.2013;13:15;13:30;3492
10.03.2013;13:30;13:45;3380
10.03.2013;13:45;14:00;3369
10.03.2013;14:00;14:15;3508
10.03.2013;14:15;14:30;3483
10.03.2013;14:30;14:45;3387
10.03.2013;14:45;15:00;3495
10.03.2013;15:00;15:15;3557
10.03.2013;15:15;15:30;3506
10.03.2013;15:30;15:45;3434
10.03.2013;15:45;16:00;3444
10.03.2013;16:00;16:15;3420
10.03.2013;16:15;16:30;3488
10.03.2013;16:30;16:45;3519
10.03.2013;16:45;17:00;3732
10.03.2013;17:00;17:15;3747
10.03.2013;17:15;17:30;4055
10.03.2013;17:30;17:45;4253
10.03.2013;17:45;18:00;4480
10.03.2013;18:00;18:15;4587
10.03.2013;18:15;18:30;4897
10.03.2013;18:30;18:45;5121
10.03.2013;18:45;19:00;5142
10.03.2013;19:00;19:15;5077
10.03.2013;19:15;19:30;4980
10.03.2013;19:30;19:45;4976
10.03.2013;19:45;20:00;4875
10.03.2013;20:00;20:15;4888
10.03.2013;20:15;20:30;4598
10.03.2013;20:30;20:45;4476
10.03.2013;20:45;21:00;4336
10.03.2013;21:00;21:15;4142
10.03.2013;21:15;21:30;4079
10.03.2013;21:30;21:45;4171
10.03.2013;21:45;22:00;4387
10.03.2013;22:00;22:15;4626
10.03.2013;22:15;22:30;4616
10.03.2013;22:30;22:45;4510
10.03.2013;22:45;23:00;4544
10.03.2013;23:00;23:15;4408
10.03.2013;23:15;23:30;4312
10.03.2013;23:30;23:45;4176
10.03.2013;23:45;24:00;4133
11.03.2013;00:00;00:15;4009
11.03.2013;00:15;00:30;4023
11.03.2013;00:30;00:45;4016
11.03.2013;00:45;01:00;3974
11.03.2013;01:00;01:15;3898
11.03.2013;01:15;01:30;4031
11.03.2013;01:30;01:45;4035
11.03.2013;01:45;02:00;3983
11.03.2013;02:00;02:15;4083
11.03.2013;02:15;02:30;4089
11.03.2013;02:30;02:45;4209
11.03.2013;02:45;03:00;4101
11.03.2013;03:00;03:15;4298
11.03.2013;03:15;03:30;4221
11.03.2013;03:30;03:45;4281
11.03.2013;03:45;04:00;4139
11.03.2013;04:00;04:15;4374
11.03.2013;04:15;04:30;4555
11.03.2013;04:30;04:45;4614
11.03.2013;04:45;05:00;4698
11.03.2013;05:00;05:15;4791
11.03.2013;05:15;05:30;5100
11.03.2013;05:30;05:45;5271
11.03.2013;05:45;06:00;5438
11.03.2013;06:00;06:15;5644
11.03.2013;06:15;06:30;5859
11.03.2013;06:30;06:45;6226
11.03.2013;06:45;07:00;6508
11.03.2013;07:00;07:15;6820
11.03.2013;07:15;07:30;7054
11.03.2013;07:30;07:45;7205
11.03.2013;07:45;08:00;7225
11.03.2013;08:00;08:15;7167
11.03.2013;08:15;08:30;7315
11.03.2013;08:30;08:45;7405
11.03.2013;08:45;09:00;7508
11.03.2013;09:00;09:15;7360
11.03.2013;09:15;09:30;7328
11.03.2013;09:30;09:45;7463
11.03.2013;09:45;10:00;7548
11.03.2013;10:00;10:15;7563
11.03.2013;10:15;10:30;7635
11.03.2013;10:30;10:45;7619
11.03.2013;10:45;11:00;7664
11.03.2013;11:00;11:15;7787
11.03.2013;11:15;11:30;7779
11.03.2013;11:30;11:45;7784
11.03.2013;11:45;12:00;7694
11.03.2013;12:00;12:15;7722
11.03.2013;12:15;12:30;7656
11.03.2013;12:30;12:45;7596
11.03.2013;12:45;13:00;7566
11.03.2013;13:00;13:15;7678
11.03.2013;13:15;13:30;7630
11.03.2013;13:30;13:45;7609
11.03.2013;13:45;14:00;7550
11.03.2013;14:00;14:15;7477
11.03.2013;14:15;14:30;7505
11.03.2013;14:30;14:45;7472
11.03.2013;14:45;15:00;7448
11.03.2013;15:00;15:15;7551
11.03.2013;15:15;15:30;7553
11.03.2013;15:30;15:45;7443
11.03.2013;15:45;16:00;7368
11.03.2013;16:00;16:15;7182
11.03.2013;16:15;16:30;7215
11.03.2013;16:30;16:45;7279
11.03.2013;16:45;17:00;7355
11.03.2013;17:00;17:15;7570
11.03.2013;17:15;17:30;7632
11.03.2013;17:30;17:45;7786
11.03.2013;17:45;18:00;8138
11.03.2013;18:00;18:15;8063
11.03.2013;18:15;18:30;8251
11.03.2013;18:30;18:45;8553
11.03.2013;18:45;19:00;8640
11.03.2013;19:00;19:15;8629
11.03.2013;19:15;19:30;8442
11.03.2013;19:30;19:45;8533
11.03.2013;19:45;20:00;8579
11.03.2013;20:00;20:15;8442
11.03.2013;20:15;20:30;8162
11.03.2013;20:30;20:45;7821
11.03.2013;20:45;21:00;7606
11.03.2013;21:00;21:15;7578
11.03.2013;21:15;21:30;7445
11.03.2013;21:30;21:45;7165
11.03.2013;21:45;22:00;7094
11.03.2013;22:00;22:15;7084
11.03.2013;22:15;22:30;6968
11.03.2013;22:30;22:45;6790
11.03.2013;22:45;23:00;6692
11.03.2013;23:00;23:15;6627
11.03.2013;23:15;23:30;6488
11.03.2013;23:30;23:45;6340
11.03.2013;23:45;24:00;6300
12.03.2013;00:00;00:15;6194
12.03.2013;00:15;00:30;6076
12.03.2013;00:30;00:45;6022
12.03.2013;00:45;01:00;5993
12.03.2013;01:00;01:15;5957
12.03.2013;01:15;01:30;6036
12.03.2013;01:30;01:45;5877
12.03.2013;01:45;02:00;5852
12.03.2013;02:00;02:15;5897
12.03.2013;02:15;02:30;6022
12.03.2013;02:30;02:45;5994
12.03.2013;02:45;03:00;5928
12.03.2013;03:00;03:15;6012
12.03.2013;03:15;03:30;6004
12.03.2013;03:30;03:45;5968
12.03.2013;03:45;04:00;6005
12.03.2013;04:00;04:15;6125
12.03.2013;04:15;04:30;6241
12.03.2013;04:30;04:45;6131
12.03.2013;04:45;05:00;6237
12.03.2013;05:00;05:15;6413
12.03.2013;05:15;05:30;6459
12.03.2013;05:30;05:45;6570
12.03.2013;05:45;06:00;6726
12.03.2013;06:00;06:15;6914
12.03.2013;06:15;06:30;7085
12.03.2013;06:30;06:45;7173
12.03.2013;06:45;07:00;7320
12.03.2013;07:00;07:15;7716
12.03.2013;07:15;07:30;7979
12.03.2013;07:30;07:45;8119
12.03.2013;07:45;08:00;7910
12.03.2013;08:00;08:15;8083
12.03.2013;08:15;08:30;8220
12.03.2013;08:30;08:45;7991
12.03.2013;08:45;09:00;7975
12.03.2013;09:00;09:15;8103
12.03.2013;09:15;09:30;8184
12.03.2013;09:30;09:45;8156
12.03.2013;09:45;10:00;7939
12.03.2013;10:00;10:15;7967
12.03.2013;10:15;10:30;7902
12.03.2013;10:30;10:45;7925
12.03.2013;10:45;11:00;7944
12.03.2013;11:00;11:15;7974
12.03.2013;11:15;11:30;8034
12.03.2013;11:30;11:45;7999
12.03.2013;11:45;12:00;7887
12.03.2013;12:00;12:15;7782
12.03.2013;12:15;12:30;7736
12.03.2013;12:30;12:45;7816
12.03.2013;12:45;13:00;7829
12.03.2013;13:00;13:15;7759
12.03.2013;13:15;13:30;7657
12.03.2013;13:30;13:45;7707
12.03.2013;13:45;14:00;7504
12.03.2013;14:00;14:15;7488
12.03.2013;14:15;14:30;7418
12.03.2013;14:30;14:45;7434
12.03.2013;14:45;15:00;7468
12.03.2013;15:00;15:15;7640
12.03.2013;15:15;15:30;7663
12.03.2013;15:30;15:45;7521
12.03.2013;15:45;16:00;7560
12.03.2013;16:00;16:15;7580
12.03.2013;16:15;16:30;7622
12.03.2013;16:30;16:45;7551
12.03.2013;16:45;17:00;7579
12.03.2013;17:00;17:15;7701
12.03.2013;17:15;17:30;7892
12.03.2013;17:30;17:45;8092
12.03.2013;17:45;18:00;8315
12.03.2013;18:00;18:15;8293
12.03.2013;18:15;18:30;8622
12.03.2013;18:30;18:45;8895
12.03.2013;18:45;19:00;8936
12.03.2013;19:00;19:15;8631
12.03.2013;19:15;19:30;8336
12.03.2013;19:30;19:45;8355
12.03.2013;19:45;20:00;8261
12.03.2013;20:00;20:15;8496
12.03.2013;20:15;20:30;8422
12.03.2013;20:30;20:45;8222
12.03.2013;20:45;21:00;8039
12.03.2013;21:00;21:15;7789
12.03.2013;21:15;21:30;7739
12.03.2013;21:30;21:45;7374
12.03.2013;21:45;22:00;7227
12.03.2013;22:00;22:15;7263
12.03.2013;22:15;22:30;7119
12.03.2013;22:30;22:45;7033
12.03.2013;22:45;23:00;6842
12.03.2013;23:00;23:15;6878
12.03.2013;23:15;23:30;6823
12.03.2013;23:30;23:45;6632
12.03.2013;23:45;24:00;6482
13.03.2013;00:00;00:15;6396
13.03.2013;00:15;00:30;6394
13.03.2013;00:30;00:45;6301
13.03.2013;00:45;01:00;6353
13.03.2013;01:00;01:15;6324
13.03.2013;01:15;01:30;6210
13.03.2013;01:30;01:45;6215
13.03.2013;01:45;02:00;6225
13.03.2013;02:00;02:15;6292
13.03.2013;02:15;02:30;6186
13.03.2013;02:30;02:45;6260
13.03.2013;02:45;03:00;6207
13.03.2013;03:00;03:15;6322
13.03.2013;03:15;03:30;6246
13.03.2013;03:30;03:45;6302
13.03.2013;03:45;04:00;6385
13.03.2013;04:00;04:15;6456
13.03.2013;04:15;04:30;6474
13.03.2013;04:30;04:45;6577
13.03.2013;04:45;05:00;6658
13.03.2013;05:00;05:15;6705
13.03.2013;05:15;05:30;6699
13.03.2013;05:30;05:45;7097
13.03.2013;05:45;06:00;7111
13.03.2013;06:00;06:15;7244
13.03.2013;06:15;06:30;7501
13.03.2013;06:30;06:45;7566
13.03.2013;06:45;07:00;7648
13.03.2013;07:00;07:15;7921
13.03.2013;07:15;07:30;8127
13.03.2013;07:30;07:45;8357
13.03.2013;07:45;08:00;8361
13.03.2013;08:00;08:15;8287
13.03.2013;08:15;08:30;8304
13.03.2013;08:30;08:45;8202
13.03.2013;08:45;09:00;8090
13.03.2013;09:00;09:15;8052
13.03.2013;09:15;09:30;8174
13.03.2013;09:30;09:45;8188
13.03.2013;09:45;10:00;8108
13.03.2013;10:00;10:15;8115
13.03.2013;10:15;10:30;8197
13.03.2013;10:30;10:45;8153
13.03.2013;10:45;11:00;8010
13.03.2013;11:00;11:15;8003
13.03.2013;11:15;11:30;7993
13.03.2013;11:30;11:45;7958
13.03.2013;11:45;12:00;7904
13.03.2013;12:00;12:15;7799
13.03.2013;12:15;12:30;7721
13.03.2013;12:30;12:45;7686
13.03.2013;12:45;13:00;7755
13.03.2013;13:00;13:15;7621
13.03.2013;13:15;13:30;7597
13.03.2013;13:30;13:45;7350
13.03.2013;13:45;14:00;7289
13.03.2013;14:00;14:15;7306
13.03.2013;14:15;14:30;7237
13.03.2013;14:30;14:45;7234
13.03.2013;14:45;15:00;7356
13.03.2013;15:00;15:15;7355
13.03.2013;15:15;15:30;7283
13.03.2013;15:30;15:45;7305
13.03.2013;15:45;16:00;7434
13.03.2013;16:00;16:15;7454
13.03.2013;16:15;16:30;7465
13.03.2013;16:30;16:45;7530
13.03.2013;16:45;17:00;7803
13.03.2013;17:00;17:15;7938
13.03.2013;17:15;17:30;8081
13.03.2013;17:30;17:45;8483
13.03.2013;17:45;18:00;8709
13.03.2013;18:00;18:15;8644
13.03.2013;18:15;18:30;8848
13.03.2013;18:30;18:45;9183
13.03.2013;18:45;19:00;9412
13.03.2013;19:00;19:15;9287
13.03.2013;19:15;19:30;9124
13.03.2013;19:30;19:45;9023
13.03.2013;19:45;20:00;9139
13.03.2013;20:00;20:15;9075
13.03.2013;20:15;20:30;8845
13.03.2013;20:30;20:45;8524
13.03.2013;20:45;21:00;8322
13.03.2013;21:00;21:15;8083
13.03.2013;21:15;21:30;7974
13.03.2013;21:30;21:45;7832
13.03.2013;21:45;22:00;7671
13.03.2013;22:00;22:15;7684
13.03.2013;22:15;22:30;7697
13.03.2013;22:30;22:45;7545
13.03.2013;22:45;23:00;7359
